CR No.,Values
201627,3
259499,2
216596,2
279678,2
264984,2
280312,2
227843,2
205881,2
228628,2
176989,2
257155,2
241200,2
257706,2
198639,2
224997,2
276467,2
276029,2
267021,2
276963,2
181968,2
191484,2
268955,2
276802,2
200311,2
265811,2
225451,2
207567,2
220088,2
261168,2
223474,2
228805,2
199995,2
220933,2
226569,2
258199,2
211798,2
222975,2
226779,2
227879,2
228143,2
245839,2
241550,2
276253,2
232325,2
223401,2
225752,2
241080,2
242218,2
194724,2
185803,2
236439,2
212483,2
237832,2
253497,2
266022,2
270213,2
270938,2
242257,2
230229,2
192150,2
241920,2
230478,2
273327,2
276098,2
210826,2
260854,2
192382,2
180321,2
179994,2
176273,2
172649,2
274219,2
269523,2
272091,2
270395,2
266325,2
196836,2
213982,2
238118,2
173208,2
173607,2
179520,2
200283,2
205353,2
213233,2
215232,2
190637,2
167964,2
168303,2
261817,2
254041,2
259202,2
257877,2
264163,2
265631,2
244232,2
255101,2
255261,2
264532,2
218169,2
230509,2
263730,2
263717,2
201661,2
211562,2
260400,2
204497,2
211028,2
263878,2
248260,2
251731,2
218641,2
262923,2
260021,2
265154,2
259680,2
265369,2
265466,2
264750,2
265614,2
251219,2
251241,2
251254,2
251409,2
251376,2
252811,2
253299,2
255229,2
255375,2
255893,2
256359,2
255104,2
258993,2
259289,2
259269,2
268621,2
263761,2
261429,2
196962,2
212107,2
269386,2
224693,2
204547,2
177463,2
223477,2
237475,2
260801,2
263592,2
246631,2
241242,2
248525,2
195674,2
209671,2
265107,2
262754,2
268485,2
262641,2
199095,2
263342,2
262090,2
204932,2
203670,2
262523,2
262457,2
204525,2
252005,1
252149,1
252113,1
252109,1
252028,1
252166,1
251634,1
251930,1
251687,1
251676,1
251902,1
251893,1
251808,1
251799,1
251686,1
251768,1
251725,1
251914,1
251485,1
251517,1
250742,1
250453,1
250471,1
250499,1
250513,1
250524,1
250525,1
250562,1
250689,1
250691,1
250707,1
250711,1
250721,1
250737,1
250744,1
252188,1
250788,1
250819,1
250987,1
251032,1
251038,1
251090,1
251202,1
251243,1
251246,1
251286,1
251438,1
251442,1
251474,1
252186,1
247408,1
252259,1
253467,1
252971,1
253036,1
253107,1
253131,1
253157,1
253179,1
253252,1
253398,1
253427,1
253454,1
253480,1
252942,1
253483,1
253499,1
253508,1
253604,1
253606,1
253636,1
253645,1
253667,1
253670,1
253727,1
252949,1
252894,1
252260,1
252459,1
252270,1
252293,1
252326,1
252342,1
252360,1
252362,1
252408,1
252423,1
252445,1
252447,1
252552,1
252862,1
252570,1
252597,1
252650,1
252665,1
252691,1
250439,1
252705,1
252710,1
252746,1
252758,1
250441,1
249005,1
250435,1
247953,1
246927,1
247881,1
246875,1
246874,1
246865,1
253770,1
247888,1
247918,1
247926,1
247941,1
247969,1
247028,1
247973,1
247978,1
248009,1
248034,1
248130,1
248224,1
248239,1
248253,1
248372,1
248408,1
246983,1
247830,1
248547,1
247643,1
247368,1
247359,1
247433,1
247298,1
247510,1
247520,1
247546,1
247577,1
247245,1
247611,1
247661,1
247815,1
247675,1
247688,1
247699,1
247723,1
247773,1
247209,1
247788,1
247793,1
247169,1
247802,1
248486,1
248562,1
250398,1
249966,1
249627,1
249662,1
249675,1
249692,1
249700,1
249731,1
249756,1
249801,1
249841,1
249859,1
249991,1
249582,1
250061,1
250114,1
250141,1
250198,1
250199,1
250214,1
250232,1
250253,1
250275,1
250366,1
249590,1
249575,1
248575,1
248950,1
248623,1
248635,1
248701,1
248704,1
248712,1
248813,1
248822,1
248838,1
248868,1
248920,1
248956,1
249499,1
248989,1
248990,1
247392,1
249061,1
249208,1
249244,1
249280,1
249341,1
249381,1
249419,1
253728,1
256340,1
253803,1
259376,1
258860,1
258908,1
258920,1
258935,1
258945,1
259036,1
259090,1
259203,1
259204,1
259215,1
259419,1
258747,1
259502,1
259507,1
259559,1
259564,1
259698,1
259708,1
259738,1
259743,1
259806,1
259852,1
258810,1
258723,1
259947,1
257961,1
257536,1
257538,1
257559,1
257627,1
257650,1
257794,1
257804,1
257872,1
257897,1
257906,1
257963,1
258715,1
258045,1
258110,1
258314,1
258315,1
258425,1
258480,1
258493,1
258568,1
258593,1
258639,1
259920,1
260019,1
257509,1
261498,1
261260,1
261270,1
261349,1
261357,1
261359,1
261382,1
261425,1
261463,1
261471,1
261481,1
261511,1
261198,1
261548,1
261640,1
261705,1
261743,1
261857,1
261870,1
261929,1
261978,1
262000,1
262030,1
261219,1
261187,1
260041,1
260558,1
260047,1
260059,1
260090,1
260300,1
260304,1
260356,1
260396,1
260481,1
260494,1
260508,1
260637,1
261112,1
260680,1
260738,1
260852,1
260853,1
260901,1
260915,1
260929,1
260959,1
260961,1
261070,1
257516,1
257508,1
253806,1
255125,1
254562,1
254603,1
254730,1
254738,1
254763,1
254898,1
254925,1
254946,1
255074,1
255100,1
255146,1
254518,1
255159,1
255172,1
255201,1
255221,1
255232,1
255259,1
255280,1
255323,1
255333,1
255352,1
254542,1
254454,1
255493,1
254243,1
253846,1
253865,1
253891,1
253912,1
253950,1
254072,1
254081,1
254165,1
254174,1
254183,1
254270,1
254439,1
254304,1
254322,1
254329,1
254334,1
254347,1
254408,1
254412,1
254414,1
254421,1
254436,1
255397,1
255535,1
257490,1
256766,1
256298,1
246854,1
256401,1
256450,1
256532,1
256586,1
256621,1
256641,1
256654,1
256744,1
256898,1
256275,1
256934,1
256978,1
256990,1
257003,1
257102,1
257116,1
257198,1
257383,1
257427,1
257486,1
256295,1
256274,1
255605,1
255949,1
255644,1
255652,1
255697,1
255725,1
255730,1
255754,1
255821,1
255840,1
255898,1
255941,1
256003,1
256256,1
256010,1
256030,1
256045,1
256052,1
256054,1
256061,1
256115,1
256121,1
256150,1
256214,1
246856,1
244330,1
246821,1
239067,1
238733,1
238759,1
238784,1
238855,1
238901,1
238904,1
238908,1
238911,1
238931,1
239039,1
239119,1
238719,1
239122,1
239170,1
239178,1
239179,1
239199,1
239212,1
239320,1
239383,1
239393,1
239394,1
238731,1
238602,1
239444,1
238167,1
237836,1
237885,1
237924,1
237937,1
237982,1
238020,1
238102,1
238103,1
238109,1
238128,1
238189,1
238597,1
238213,1
238278,1
238336,1
238403,1
238425,1
238430,1
238466,1
238468,1
238565,1
238577,1
239414,1
239523,1
237751,1
240681,1
240321,1
240339,1
240349,1
240370,1
240400,1
240422,1
240426,1
240494,1
240544,1
240595,1
240717,1
240288,1
240745,1
240804,1
240805,1
240842,1
240851,1
240856,1
240919,1
240956,1
240989,1
241071,1
240296,1
240283,1
239561,1
239748,1
239569,1
239579,1
239580,1
239644,1
239652,1
239675,1
239687,1
239689,1
239715,1
239731,1
239846,1
240260,1
239885,1
239938,1
239979,1
240004,1
240021,1
240127,1
240133,1
240211,1
240237,1
240247,1
237792,1
237710,1
241145,1
235738,1
235426,1
235445,1
235503,1
235526,1
235537,1
235592,1
235598,1
235615,1
235620,1
235734,1
235768,1
235255,1
235783,1
235794,1
235797,1
235799,1
235806,1
235808,1
235816,1
235831,1
235840,1
235852,1
235339,1
235238,1
235880,1
234756,1
234654,1
234669,1
234671,1
234685,1
234704,1
234708,1
234718,1
234721,1
234736,1
234746,1
234800,1
235227,1
234832,1
234897,1
235038,1
235040,1
235141,1
235145,1
235165,1
235197,1
235208,1
235219,1
235863,1
235892,1
237705,1
237176,1
236751,1
236773,1
236784,1
236790,1
236884,1
236897,1
236899,1
236994,1
237020,1
237060,1
237205,1
236734,1
237225,1
237316,1
237320,1
237344,1
237359,1
237424,1
237443,1
237473,1
237553,1
237576,1
236747,1
236730,1
235922,1
236289,1
235944,1
235954,1
235980,1
235985,1
236019,1
236120,1
236150,1
236172,1
236215,1
236237,1
236297,1
236666,1
236360,1
236397,1
236446,1
236461,1
236490,1
236529,1
236574,1
236576,1
236620,1
236631,1
241074,1
241147,1
246805,1
244884,1
244568,1
244581,1
244585,1
244600,1
244607,1
244699,1
244715,1
244771,1
244811,1
244853,1
244896,1
244516,1
244899,1
244954,1
244967,1
244978,1
244989,1
244991,1
244997,1
245018,1
245025,1
245050,1
244524,1
244456,1
245088,1
