IIG ID,Values
IIG_001,1
IIG_2435,1
IIG_2437,1
IIG_2438,1
IIG_2439,1
IIG_2440,1
IIG_2441,1
IIG_2442,1
IIG_2443,1
IIG_2444,1
IIG_2445,1
IIG_2446,1
IIG_2447,1
IIG_2448,1
IIG_2449,1
IIG_2450,1
IIG_2451,1
IIG_2452,1
IIG_2453,1
IIG_2454,1
IIG_2455,1
IIG_2456,1
IIG_2457,1
IIG_2458,1
IIG_2459,1
IIG_2460,1
IIG_2461,1
IIG_2436,1
IIG_2434,1
IIG_2520,1
IIG_2433,1
IIG_2408,1
IIG_2409,1
IIG_2410,1
IIG_2411,1
IIG_2412,1
IIG_2413,1
IIG_2414,1
IIG_2415,1
IIG_2416,1
IIG_2417,1
IIG_2418,1
IIG_2419,1
IIG_2420,1
IIG_2421,1
IIG_2422,1
IIG_2423,1
IIG_2424,1
IIG_2425,1
IIG_2426,1
IIG_2427,1
IIG_2428,1
IIG_2429,1
IIG_2430,1
IIG_2431,1
IIG_2432,1
IIG_2462,1
IIG_2463,1
IIG_2464,1
IIG_2465,1
IIG_2494,1
IIG_2495,1
IIG_2496,1
IIG_2497,1
IIG_2498,1
IIG_2499,1
IIG_2500,1
IIG_2501,1
IIG_2502,1
IIG_2503,1
IIG_2504,1
IIG_2505,1
IIG_2506,1
IIG_2507,1
IIG_2508,1
IIG_2509,1
IIG_2510,1
IIG_2511,1
IIG_2512,1
IIG_2513,1
IIG_2514,1
IIG_2515,1
IIG_2516,1
IIG_2517,1
IIG_2518,1
IIG_2493,1
IIG_2492,1
IIG_2491,1
IIG_2477,1
IIG_2466,1
IIG_2467,1
IIG_2468,1
IIG_2469,1
IIG_2470,1
IIG_2471,1
IIG_2472,1
IIG_2473,1
IIG_2474,1
IIG_2475,1
IIG_2476,1
IIG_2478,1
IIG_2490,1
IIG_2479,1
IIG_2480,1
IIG_2481,1
IIG_2482,1
IIG_2483,1
IIG_2484,1
IIG_2485,1
IIG_2486,1
IIG_2487,1
IIG_2488,1
IIG_2489,1
IIG_2407,1
IIG_2406,1
IIG_2405,1
IIG_2348,1
IIG_2322,1
IIG_2323,1
IIG_2324,1
IIG_2325,1
IIG_2326,1
IIG_2327,1
IIG_2328,1
IIG_2329,1
IIG_2330,1
IIG_2331,1
IIG_2332,1
IIG_2333,1
IIG_2334,1
IIG_2335,1
IIG_2336,1
IIG_2337,1
IIG_2338,1
IIG_2339,1
IIG_2340,1
IIG_2341,1
IIG_2342,1
IIG_2343,1
IIG_2344,1
IIG_2345,1
IIG_2346,1
IIG_2321,1
IIG_2320,1
IIG_2319,1
IIG_2305,1
IIG_2294,1
IIG_2295,1
IIG_2296,1
IIG_2297,1
IIG_2298,1
IIG_2299,1
IIG_2300,1
IIG_2301,1
IIG_2302,1
IIG_2303,1
IIG_2304,1
IIG_2306,1
IIG_2318,1
IIG_2307,1
IIG_2308,1
IIG_2309,1
IIG_2310,1
IIG_2311,1
IIG_2312,1
IIG_2313,1
IIG_2314,1
IIG_2315,1
IIG_2316,1
IIG_2317,1
IIG_2347,1
IIG_2349,1
IIG_2404,1
IIG_2350,1
IIG_2379,1
IIG_2380,1
IIG_2381,1
IIG_2382,1
IIG_2383,1
IIG_2384,1
IIG_2385,1
IIG_2386,1
IIG_2387,1
IIG_2388,1
IIG_2389,1
IIG_2390,1
IIG_2391,1
IIG_2392,1
IIG_2393,1
IIG_2394,1
IIG_2395,1
IIG_2396,1
IIG_2397,1
IIG_2398,1
IIG_2399,1
IIG_2400,1
IIG_2401,1
IIG_2402,1
IIG_2403,1
IIG_2378,1
IIG_2377,1
IIG_2376,1
IIG_2362,1
IIG_2351,1
IIG_2352,1
IIG_2353,1
IIG_2354,1
IIG_2355,1
IIG_2356,1
IIG_2357,1
IIG_2358,1
IIG_2359,1
IIG_2360,1
IIG_2361,1
IIG_2363,1
IIG_2375,1
IIG_2364,1
IIG_2365,1
IIG_2366,1
IIG_2367,1
IIG_2368,1
IIG_2369,1
IIG_2370,1
IIG_2371,1
IIG_2372,1
IIG_2373,1
IIG_2374,1
IIG_2519,1
IIG_2521,1
IIG_1835,1
IIG_2664,1
IIG_2666,1
IIG_2667,1
IIG_2668,1
IIG_2669,1
IIG_2670,1
IIG_2671,1
IIG_2672,1
IIG_2673,1
IIG_2674,1
IIG_2675,1
IIG_2676,1
IIG_2677,1
IIG_2678,1
IIG_2679,1
IIG_2680,1
IIG_2681,1
IIG_2682,1
IIG_2683,1
IIG_2684,1
IIG_2685,1
IIG_2686,1
IIG_2687,1
IIG_2688,1
IIG_2689,1
IIG_2690,1
IIG_2665,1
IIG_2663,1
IIG_2522,1
IIG_2662,1
IIG_2637,1
IIG_2638,1
IIG_2639,1
IIG_2640,1
IIG_2641,1
IIG_2642,1
IIG_2643,1
IIG_2644,1
IIG_2645,1
IIG_2646,1
IIG_2647,1
IIG_2648,1
IIG_2649,1
IIG_2650,1
IIG_2651,1
IIG_2652,1
IIG_2653,1
IIG_2654,1
IIG_2655,1
IIG_2656,1
IIG_2657,1
IIG_2658,1
IIG_2659,1
IIG_2660,1
IIG_2661,1
IIG_2691,1
IIG_2692,1
IIG_2693,1
IIG_2694,1
IIG_2723,1
IIG_2724,1
IIG_2725,1
IIG_2726,1
IIG_2727,1
IIG_2728,1
IIG_2729,1
IIG_2730,1
IIG_2731,1
IIG_2732,1
IIG_2733,1
IIG_2734,1
IIG_2735,1
